,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.10445992307428796,26,100
2,0.21962877344601595,182,1191
3,0.25020963686959663,234,2280
4,0.2532506205547228,281,3365
5,0.25408775999709937,312,4452
6,0.254721042605191,343,5542
7,0.2551728212190273,363,6636
8,0.25575627834167813,384,7717
9,0.2568603766751206,405,8811
10,0.2670462140097652,426,9908
11,0.26703735978453363,440,11006
12,0.2676054573396568,471,12253
13,0.2676228696043771,506,13508
14,0.26765788398237955,529,14757
15,0.29886524071798853,566,16013
16,0.2998472420395874,588,17266
17,0.30287621351105654,606,18518
18,0.30288083868178145,617,19768
19,0.3029467875245008,634,21021
20,0.3029506635727797,650,22268
21,0.30295185063497165,660,23528
22,0.3033874009302772,675,24780
