,Capacity,D,F,I,R,S,T,Uncertainty
0,0,0,0,0,0,345474,0,3
1,0,0.002535459,0.000567895,0.050176929,0.006059181,345473.9913,0,3
2,0,0.008537614,0.003974501,0.101973537,0.024429427,345473.9632,0,3
3,0,0.016585496,0.011927375,0.156659981,0.055670292,345473.9128,0,3
4,0,0.026018877,0.02549703,0.21501941,0.10058284,345473.838,0,3
5,0,0.036548279,0.045464141,0.277603136,0.160126118,345473.7365,0,3
6,0,0.048065671,0.072488997,0.344859516,0.235378384,345473.6062,0,2
7,0,0.060552899,0.107194792,0.417199112,0.327520959,345473.4448,0,2
8,0,0.074037586,0.150209333,0.495027964,0.437833543,345473.25,0,2
9,0,0.088572049,0.202186755,0.578765071,0.567695457,345473.019,0,2
10,0,0.10422334,0.263819742,0.668852118,0.718590058,345472.7493,0,2
11,0,0.121068686,0.335847304,0.765759482,0.892111016,345472.4378,0,2
12,0,0.139193527,0.419060567,0.869990461,1.089969792,345472.0814,0,2
13,0,0.158690829,0.514307758,0.982084756,1.314004034,345471.6766,0,2
14,0,0.179661026,0.622498991,1.102621705,1.566186792,345471.2199,0,2
15,0,0.202212093,0.744611076,1.232218161,1.84863607,345470.7073,0,2
16,0,0.226459547,0.881692305,1.371535346,2.163624158,345470.1346,0,2
17,10,0.119521329,1.106753562,0.000203197,2.557921781,345470.0119,1.094931455,1.95
18,10,0.063039256,1.257129686,0.000166864,2.871530783,345469.9474,0.870314631,1.7
19,10,0.033243799,1.357139339,3.17E-05,3.106064761,345469.9134,0.606917937,1.479605078
20,10,0.017531496,1.421649475,2.08E-05,3.269062959,345469.8954,0.420742862,1.365361368
21,10,0.009245825,1.463750227,1.54E-05,3.382014641,345469.886,0.291737157,1.284325221
22,10,0.004876518,1.491627227,1.29E-05,3.460536531,345469.881,0.203658454,1.230289975
23,10,0.002572451,1.510438138,1.15E-05,3.515673346,345469.8783,0.144101223,1.202499512
24,10,0.001357454,1.523440109,1.09E-05,3.555044228,345469.8769,0.104112295,1.200487325
